Reading.207860297 ,0.299,0.176,0.373,0.409,0.658,0.167,0.206,0.173,0.184,0.18,0.197,0.609,0.24,1.078,1.164,0.163,0.683,0.173,0.619,0.186,0.153,0.184,0.187,0.158,0.189,0.335,0.438,0.188,0.163,0.186,0.203,0.7,0.188,0.158,0.382,0.428,0.31,0.738,0.933,0.535,0.684,0.502,0.588,1.076,0.57,0.166,0.182,0.376
Reading.207860316 ,0.208,0.336,0.342,0.532,0.202,0.337,0.328,0.224,0.199,0.315,0.332,0.69,0.451,1.795,2.006,0.784,0.578,0.397,0.648,0.204,0.212,0.31,0.508,0.63,0.286,0.298,0.342,0.217,0.446,0.3,0.369,0.485,0.276,0.208,0.268,0.473,0.222,0.667,0.415,0.469,1.019,1.05,2.14,2.067,0.675,0.368,0.741,0.356
Reading.207860322 ,0.214,0.127,0.111,0.089,0.533,0.12,0.089,0.646,0.167,0.144,0.146,0.116,1.195,0.328,0.785,0.618,0.108,0.081,0.095,0.487,0.172,0.091,0.108,0.832,0.192,0.114,0.092,0.08,0.514,0.103,0.08,0.193,0.102,0.082,0.105,0.19,0.926,0.959,0.335,0.933,1.076,1.383,2.02,2.251,0.64,1.032,0.77,0.88
Reading.207860324 ,0.064,0.08,0.188,0.177,0.077,0.06,0.061,0.213,0.044,0.052,0.061,0.236,0.288,0.077,0.052,0.205,0.052,0.041,0.231,0.172,0.276,0.101,0.366,0.21,0.089,0.188,0.156,0.2,0.104,0.277,0.212,0.444,0.378,0.446,1.094,1.094,0.4,0.472,0.156,0.594,0.242,0.407,0.247,0.434,0.465,0.166,0.168,0.297
Reading.207860359 ,0.211,0.149,0.109,0.131,0.137,0.108,0.132,0.141,0.096,0.225,0.122,0.124,0.418,0.291,1.568,0.555,0.561,0.405,0.407,0.084,0.164,0.125,0.119,0.128,0.16,0.13,1.16,0.952,0.388,0.71,0.294,0.408,0.619,0.946,0.228,0.886,0.497,0.522,0.825,0.512,0.631,1.099,0.534,0.218,0.394,0.121,0.102,0.221
Reading.207860373 ,1.366,0.555,0.41,0.31,0.309,0.292,0.359,0.398,0.383,0.477,0.508,2.26,2.062,0.729,0.486,0.509,0.475,0.787,0.441,0.453,0.506,1.007,0.882,0.522,0.371,0.454,0.778,0.568,0.515,0.476,0.846,0.59,0.336,0.591,2.113,2.215,1.405,1.547,1.86,1.544,2.124,2.653,1.595,0.815,0.632,0.576,0.46,0.413
Reading.207860393 ,0.383,0.303,0.363,0.208,0.121,0.45,0.087,0.115,0.188,0.143,0.09,0.234,0.117,0.202,0.519,0.721,0.407,0.643,0.796,0.266,0.161,0.674,0.259,0.391,0.249,1.116,0.313,0.767,0.246,0.123,0.196,0.177,0.146,0.28,0.074,0.143,0.346,0.13,0.418,0.629,1.091,0.727,0.669,0.36,0.25,0.215,0.128,0.148
Reading.207860395 ,0.353,0.232,0.37,0.233,0.343,0.226,0.399,0.188,0.389,0.185,0.356,0.235,0.333,1.349,1.337,2.095,1.447,0.237,0.349,0.225,0.325,0.217,0.361,0.182,1.059,1.075,0.379,0.279,0.379,0.232,0.343,0.246,0.353,0.341,1.281,0.603,1.297,0.715,0.467,0.442,0.836,1.01,1.333,1.934,1.011,0.21,0.351,0.242
Reading.207860402 ,0.142,0.393,0.195,0.131,0.198,0.328,0.137,0.122,0.079,0.138,0.468,0.2,0.135,0.134,0.083,0.113,0.376,0.176,0.267,0.139,0.193,0.082,0.311,0.252,0.183,0.201,0.17,0.145,0.115,0.132,0.322,0.343,0.158,0.225,0.179,0.243,0.228,0.185,0.377,0.912,0.658,0.433,0.811,0.426,0.706,0.713,0.079,0.349
Reading.207860439 ,0.681,0.241,0.269,0.238,0.247,0.226,0.651,0.253,0.529,0.543,0.21,0.246,0.684,0.237,0.221,0.431,0.895,1.343,1.825,1.023,0.397,0.546,1.106,0.468,0.342,0.283,1.064,1.097,0.537,0.342,0.297,0.733,0.29,0.26,0.297,0.265,0.283,0.841,0.743,0.932,1.414,1.361,0.84,0.751,1.05,0.51,0.252,0.562
Reading.207860447 ,0.084,0.273,0.653,0.215,0.243,0.138,0.132,0.124,0.115,0.864,0.136,0.103,0.881,1.31,1.177,0.294,0.097,0.471,0.132,0.073,0.399,0.44,0.108,0.202,0.143,0.215,0.409,0.284,0.251,0.336,0.171,0.336,0.203,0.425,0.708,0.192,0.558,0.639,0.242,0.331,0.383,0.632,0.481,0.202,0.784,1.758,0.775,0.308
Reading.207860451 ,0.175,0.39,0.227,0.098,0.149,0.16,0.144,0.493,0.064,0.085,0.09,0.189,0.119,0.541,0.136,0.312,0.196,0.562,0.27,0.184,0.154,0.151,0.691,0.156,0.183,0.146,0.528,0.147,0.152,0.303,0.155,0.459,0.082,0.052,0.182,0.585,0.716,0.19,0.218,0.823,0.235,0.181,0.192,0.528,0.156,0.165,0.148,0.129
Reading.207860500 ,0.39,0.449,0.348,0.423,0.419,0.372,0.402,0.419,0.408,0.349,0.426,0.414,0.363,0.761,0.728,0.582,0.423,0.411,0.474,1.114,0.625,0.442,0.443,0.444,0.422,0.463,0.395,0.472,0.355,0.453,0.427,0.46,0.549,0.883,1.484,0.583,0.847,0.674,0.951,0.76,0.648,0.742,0.65,0.547,0.521,0.444,0.433,0.402
Reading.207860512 ,0.353,0.321,0.278,0.33,0.345,0.813,0.312,0.293,0.33,0.339,0.269,0.295,1.38,1.795,1.302,1.323,1.054,0.298,0.357,0.309,0.289,0.709,0.337,0.326,0.385,0.316,0.297,0.5,0.618,0.31,0.352,0.391,0.397,0.331,0.342,1.815,0.951,1.083,1.754,0.831,0.755,0.872,1.179,2.449,1.793,1.622,0.277,0.334
Reading.207860520 ,0.333,0.393,0.382,0.376,0.943,0.36,0.296,0.32,0.704,1.152,0.457,0.366,0.857,1.269,0.527,1.137,0.624,0.467,1.354,1.023,0.311,0.349,0.35,0.511,0.594,0.582,1.424,0.828,0.458,0.747,1.198,1.154,0.374,0.365,0.957,1.687,1.378,0.287,0.223,0.194,0.91,1.04,1.111,0.465,0.235,0.234,0.647,0.194
Reading.207860522 ,0.193,0.184,0.148,0.185,0.56,0.146,0.188,0.158,0.166,0.184,0.164,0.266,1.62,1.131,1.362,0.288,0.944,0.233,0.319,0.956,0.337,0.273,0.89,0.864,1.95,1.612,0.386,0.311,0.384,1.145,0.666,0.383,0.827,1.125,2.394,0.554,1.075,0.434,0.47,0.952,0.502,1.067,0.381,0.266,0.294,0.639,0.676,1.284
Reading.207860531 ,0.098,0.161,0.173,0.15,0.187,0.132,0.093,0.204,0.193,0.09,0.143,0.168,0.151,0.181,0.106,0.089,0.228,0.17,0.115,0.157,0.146,0.156,0.225,0.195,0.161,0.222,0.21,0.149,0.128,0.153,0.199,0.15,0.184,0.18,0.114,0.134,0.208,0.21,0.08,0.111,0.219,0.155,0.119,0.155,0.135,0.157,0.208,0.108
